eps,min_samples,clusters,noise_points,silhouette_non_noise
0.8,3,8,112,0.24486991294606184
0.8,4,5,134,0.3632453921252175
0.8,5,3,146,0.44064459488131713
0.8,6,1,158,
1.0,3,6,72,0.3088362003055223
1.0,4,4,84,0.3438440299618552
1.0,5,3,94,0.43445253668633704
1.0,6,2,113,0.44427637851303103
1.2,3,4,41,0.2983588812169009
1.2,4,3,50,0.36963681019850714
1.2,5,3,53,0.3850261978900379
1.2,6,3,63,0.3920054101647989
1.4,3,1,31,
1.4,4,1,35,
1.4,5,1,40,
1.4,6,2,41,0.3931108256204575
1.6,3,2,23,0.22078958926697828
1.6,4,1,27,
1.6,5,1,28,
1.6,6,1,29,
1.8,3,2,16,0.20690660564754443
1.8,4,1,20,
1.8,5,1,21,
1.8,6,1,22,
2.0,3,1,11,
2.0,4,1,12,
2.0,5,1,15,
2.0,6,1,15,
2.2,3,1,9,
2.2,4,1,9,
2.2,5,1,10,
2.2,6,1,10,
2.4,3,1,7,
2.4,4,1,8,
2.4,5,1,8,
2.4,6,1,8,
2.6,3,1,6,
2.6,4,1,6,
2.6,5,1,6,
2.6,6,1,6,
2.8,3,1,6,
2.8,4,1,6,
2.8,5,1,6,
2.8,6,1,6,
3.0,3,1,6,
3.0,4,1,6,
3.0,5,1,6,
3.0,6,1,6,
